country,color
Jordan,#BDA55B
Lebanon,#A6C8D1
Syria,#7CA3BC
Egypt,#5C6B73
Saudi Arabia,#D3A569
United Arab Emirates,#BFA88D
Qatar,#D97D7D
Kuwait,#8C9DA8
Bahrain,#9FBDA8
Oman,#637070
Israel,#4A90E2
West Bank,#47B24B
Gaza Strip,#E63946
